step,method,source_method,mean_energy_per_site,standard_error_of_mean,n_independent_runs
235,Hybrid,mixture,-1.39423735,1.78522515e-03,20
236,Metropolis,metropolis,-1.38623397,2.65800918e-03,20
236,Row-Update,mps,-1.39135195,2.22540889e-03,20
236,Hybrid,mixture,-1.39427394,1.79084100e-03,20
237,Metropolis,metropolis,-1.38627874,2.65600132e-03,20
237,Row-Update,mps,-1.39134479,2.22209166e-03,20
237,Hybrid,mixture,-1.39428498,1.79153004e-03,20
238,Metropolis,metropolis,-1.38631680,2.66160354e-03,20
238,Row-Update,mps,-1.39141973,2.21696685e-03,20
238,Hybrid,mixture,-1.39431165,1.77980299e-03,20
239,Metropolis,metropolis,-1.38632477,2.64830623e-03,20
239,Row-Update,mps,-1.39137421,2.22892851e-03,20
239,Hybrid,mixture,-1.39433120,1.78002931e-03,20
240,Metropolis,metropolis,-1.38629797,2.64280628e-03,20
240,Row-Update,mps,-1.39140173,2.21992680e-03,20
240,Hybrid,mixture,-1.39435936,1.78955116e-03,20
241,Metropolis,metropolis,-1.38637741,2.65851524e-03,20
241,Row-Update,mps,-1.39140990,2.22680609e-03,20
241,Hybrid,mixture,-1.39433671,1.79095315e-03,20
242,Metropolis,metropolis,-1.38635034,2.65269607e-03,20
242,Row-Update,mps,-1.39142327,2.22593166e-03,20
242,Hybrid,mixture,-1.39435970,1.79183049e-03,20
243,Metropolis,metropolis,-1.38634712,2.66265628e-03,20
243,Row-Update,mps,-1.39147232,2.21996899e-03,20
243,Hybrid,mixture,-1.39437983,1.79245129e-03,20
244,Metropolis,metropolis,-1.38639264,2.66324126e-03,20
244,Row-Update,mps,-1.39144465,2.22796471e-03,20
244,Hybrid,mixture,-1.39436756,1.78902774e-03,20
245,Metropolis,metropolis,-1.38641508,2.67120966e-03,20
245,Row-Update,mps,-1.39146667,2.22594285e-03,20
245,Hybrid,mixture,-1.39435820,1.78966568e-03,20
246,Metropolis,metropolis,-1.38647890,2.68018519e-03,20
246,Row-Update,mps,-1.39145952,2.23349781e-03,20
246,Hybrid,mixture,-1.39437485,1.78339666e-03,20
247,Metropolis,metropolis,-1.38648244,2.66485207e-03,20
247,Row-Update,mps,-1.39149699,2.22627367e-03,20
247,Hybrid,mixture,-1.39436963,1.79564373e-03,20
248,Metropolis,metropolis,-1.38655243,2.69051386e-03,20
248,Row-Update,mps,-1.39152605,2.22901623e-03,20
248,Hybrid,mixture,-1.39437463,1.78939061e-03,20
249,Metropolis,metropolis,-1.38654666,2.68419528e-03,20
249,Row-Update,mps,-1.39156964,2.23365784e-03,20
249,Hybrid,mixture,-1.39440829,1.79324464e-03,20
250,Metropolis,metropolis,-1.38655295,2.68801881e-03,20
250,Row-Update,mps,-1.39152501,2.23526995e-03,20
